,Pokemon,Behavior
3,Tsareena," Upon evolving, Tsareena will gain excessive strength that helps them to master their leg power even better than Steenee"
4,Tsareena," The majority of them take up the responsibilities of guarding and protecting other Steenee and Bounsweet, even becoming aggressively defensive to outsiders (especially bird Pokémon) that they consider dangerous to fellow Bounsweet"
5,Tsareena," Some may describe Tsareena as merciless, since they laugh boisterously after cruelly stomping and defeating their foes with their curvy and sharp legs, which inflict both physical and psychological agony in an everlasting way to the victims"
6,Tsareena,"In Paldea, Tsareena tend to see Quaquaval as rivals"
0,Comfey,"After they pick up flowers, Comfey use them to make garlands"
1,Comfey," When they have a favorable impression on a person, they will give one of their garlands to him or her"
2,Comfey,"On occasions, two of them or more can get tangled up with each other when sleeping side by side mentioned in SM046"
0,Oranguru,Oranguru are solitary Pokémon that dwell deep in the canopies of rainforests
1,Oranguru, These mysterious creatures spend much of their time meditating in silence
2,Oranguru, Oranguru are also kindhearted Pokémon that help other ill or wounded Pokémon
3,Oranguru,"Oranguru can be difficult to raise, as they look down on trainers less knowledgeable than themselves and tend to act on their own accords"
4,Oranguru," They also don't get along well with others of their kind, engaging in intellectual battles of wits when encountering one another to prove superiority (and territorial claims)"
5,Oranguru," Shockingly, Oranguru have proven able to learn how to manipulate human inventions like Potions all on their own"
6,Oranguru, Some have even reported seeing Oranguru use Poké Balls in the wild
0,Passimian,Passimian dwell in troops of 20 to 30 individuals
1,Passimian," They are led by a “boss” Passimian, who fashions an arm marking of leaves that all other Passimian in the troop will bear to distinguish themselves; the leaves are stuck on using dried saliva"
2,Passimian,These Pokémon excel when it comes to teamwork
3,Passimian," Bosses will select 10 of the fittest members to accompany them as they search for Berries; this is done on a case-by-case basis, so Passimian must constantly train themselves to stay in peak condition"
4,Passimian, Each Passimian in a team performs a particular assigned role when foraging
5,Passimian, Bosses will also routinely conduct training exercises in which troop members must pass Berries to one another both quickly and accurately
6,Passimian, The Passimian that can throw a Berry the farthest is the de facto leader
7,Passimian, These sessions are often long and laborious; some Passimian even end up running away because they are unable to handle the pressure
8,Passimian,Passimian lob Berries at foes to defend themselves
9,Passimian, They use soft ones to obscure their vision and hard ones to batter and bruise them
10,Passimian, Troop members will never leave a comrade behind
11,Passimian, Most bosses pass down special techniques from generation to generation
12,Passimian, Domesticated Passimian watch their trainers closely as they throw their Poké Balls; they look down on those with poor form
0,Wimpod,Wimpod are mostly timid and they'll usually run away when they see other Pokémon and people
1,Wimpod," However, they sometimes will get close to creatures they feel interested, especially the ones that aren't moving"
2,Wimpod,"As they have a habit of storing things they've eaten, not only they're being seen as cleaners of the sea, but also this causes some greedy people and Pokémon like Murkrow hoping to steal the treasures, such as pearls, they have stored"
0,Golisopod,"Golisopod are stronger than Wimpod and will do anything to win, taking advantage of any openings they can find"
1,Golisopod," Like its pre-evolution, Golisopod are still somewhat cowardly Pokémon despite being stronger, as they are known to flee when the situation becomes rough for them"
2,Golisopod,"In the Galar region, Golispod frequently clash with Grapploct, with the loser of the battle being eaten by the winner"
0,Sandygast,Sandygast are said to be born when supernatural forces possess mounds of sand built by children
1,Sandygast," Some say this is done by spirits of the dead, while others believe that they are possessed by the manifested grudges of people and Pokémon"
2,Sandygast," Sandygast dwell on sandy beaches, where they blend in perfectly with their surroundings"
3,Sandygast," They use their bright red shovels to lure in small children; those who grab their shovels fall under their influences and are compelled to begin adding more sand to their bodies, making them larger"
4,Sandygast,"If a Sandygast loses its shovel, it may instead temporarily use a tree branch, flag, or other sturdy object it finds on the shore until it can find its shovel again"
5,Sandygast, They are very protective of these tools and will try their best to fight to regain them if stolen
6,Sandygast, Sandygast can suck the life force of living beings with their gaping mouths
7,Sandygast," In Alola, it is a test of courage to stick one's hand in a Sandygast's orifice"
8,Sandygast,"Obviously, beach-going parents warn their children to not play with wild Sandygast or grab their red shovels"
9,Sandygast," Incidence rates of such occurrences, however, have remained stagnant for decades despite these warnings"
10,Sandygast, Children playing on beaches where Sandygast are known to be found are warned to knock down piles of sand they build before leaving in order to prevent possible possessions
0,Palossand,Palossand is known as the Beach Nightmare
1,Palossand, One is able manipulate the surrounding sand to drag in victims in order to drain their life essence
2,Palossand, Palossand makes their homes on sandy beaches
3,Palossand," However, they have a dislike for water and cannot maintain their sandy structures during rainy weather"
4,Palossand, The millions of sand that make up a Palossand's body have their own will
5,Palossand," After evolving, a Palossand is able to use its ghostly abilities at a much stronger level"
6,Palossand, The bones of Palossand's victims are buried deep underneath it
7,Palossand, It is theorized that the shovel on top of Palossand's head functions similar to radar; the shovel rotates whenever Palossand is hunting prey
8,Palossand,"It is shown in the anime that a Palossand is able to grow larger the more it consumes its victims' life force, eventually reaching to the size of a large building"
0,Pyukumuku,"Pyukumuku hate when their spikes and mouth are touched, and they will spit out their organs when someone steps on them"
1,Pyukumuku," If stepped on, one will expel its fist-like organs and smack the perpetrator"
2,Pyukumuku," Pyukumuku tend to find a spot they like and stay there, even returning to the same spot if moved"
3,Pyukumuku," Once all the food in their favorite spot has been consumed, they will continue to stay there to the point of starvation"
4,Pyukumuku, These stalwart creatures will not budge once they find a favored spot; they would first starve or dehydrate before moving
5,Pyukumuku,They are covered in viscous mucus that can keep them moist for a week on land
6,Pyukumuku, It can also be used as a moisturizer and sunburn treatment
7,Pyukumuku," When they wish to return to the sea, they may hitch a ride with Pokémon like Pelipper"
0,Silvally,"Despite being a rough Pokémon, it trusts its Trainer who will do anything to protect them when they face dangers"
1,Silvally," The weight of the helmet slowed it down, and upon its removal, Silvally's speed increases substantially"
0,Komala,"This Pokémon is always asleep as its Pokédex entry in Pokémon Sun says, its attacking is nothing but it tossing and turning in its dreams"
1,Komala," According to Principal Oak in the anime episode SM056: Let Sleeping Pokémon Lie!, when a Komala loses its log it will roll around uncomfortably in its sleep because it acts as a security blanket"
2,Komala, A Komala is also picky about the log it receives
3,Komala," Trained Komala may instead latch onto their trainers’ arms for comfort, however"
4,Komala,One also reacts and changes expressions on its face in accordance to everywhere they dream about
5,Komala,"Despite their perpetual slumbers, however, Komala seem hazily aware of their surroundings; they seem to process outside stimuli within their dreams, as some sounds and physical touches register noticeably in their brain wave patterns"
6,Komala," When these Pokémon are attacked, they will begin to flail about in the general direction that they sense danger"
0,Turtonator,A Turtonator hides in rocks and ambushes unsuspecting prey
1,Turtonator," If a prey steps on its shell, it smacks its shell to cause an explosion"
2,Turtonator," They supplement their diets with a plethora of chemicals produced by volcanoes, primarily sulfuric compounds"
3,Turtonator," Additionally, moisture and humidity severely hamper their explosiveness, so Turtonator will seek refuge in caverns during wet weather"
4,Turtonator,"It is said that Turtonator's natural diet of sulfur results in its explosive shell, as this species usually dwell in volcanic areas"
0,Togedemaru,Togedemaru uses its tail to attract and absorb electricity
1,Togedemaru, Groups of them often gather with their tails stuck in the air during lightning storms
2,Togedemaru,Some Trainers use its ability to absorb electricity as a strategy in battle
3,Togedemaru," The opponent is coaxed into unleashing an Electric-type attack, and then has that power turned against it"
4,Togedemaru," When it is pleased, this Pokémon will curl into a ball and roll around uncontrollably"
5,Togedemaru," Togedemaru clashes with Elekid whenever it tries to steal the latter's electricity, usually ending with even matches"
6,Togedemaru,Togedemaru does not evolve
0,Mimikyu,"Apparently, about 20 years ago, it was said that Pikachu is more popular than them, so they dressed up like Pikachu in order to become more popular among Trainers"
1,Mimikyu,"In the case of one notable Mimikyu in the anime, it has been shown to harbor an immense, almost psychopathic hatred toward all Pikachu, especially Ash's"
2,Mimikyu," This may not be the case for all Mimikyu however, and it is likely that different Mimikyu have different attitudes toward Pikachu"
3,Mimikyu,"Mimikyu is said to be a cursed being, and those who have seen under their rags have all died painfully out of shock"
4,Mimikyu," In the anime, Meowth saw Mimikyu's true form several times (though partially) and fainted several times before being returned to his senses soon after"
5,Mimikyu,"However, most Mimikyu mean no actual harm, and in fact only want to make friends with humans"
6,Mimikyu," As such, they hide their true forms under a costume representing what people loved the most; Pikachu, though when attacked, they will show one or both of their claws that hide underneath the cloth they wear and strike back"
0,Bruxish,Bruxish dig holes into the sand in the waters of warm coral reefs
1,Bruxish, They bury themselves and leave only their knobby protuberances exposed
2,Bruxish," These growths emit low levels of psychokinetic energy that allow Bruxish to sense living things around them, functioning much like radars"
3,Bruxish," When they detect prey, they unearth themselves and attack"
4,Bruxish, Bruxish then stun their victims with psychokinesis before using their hard teeth to grind away
5,Bruxish," When they molar their teeth, other Pokémon will know that is a hint of danger and flee away"
6,Bruxish,"Their thick skin additionally keeps them safe from the latter, making them keystone predators in Corsola reefs as they regulate Mareanie populations"
7,Bruxish,"Bruxish are also known for competing with Toxapex over warmer oceanic areas, which they tend to outgun Toxapex due to their own type advantages"
0,Drampa,Drampa likes to communicate with humans and other kinds of Pokémon
1,Drampa," They treat children gently, and frequently gather at playgrounds and schools"
2,Drampa,"Although they are mostly kind Pokémon, when they know children they befriended are facing danger, they will become extremely angry"
3,Drampa," At that time, their Dragon Breath can even reach the power that can blow away a building"
0,Dhelmise,Dhelmise is able to launch forward its anchor body with enough force to destroy the strongest of rocks
1,Dhelmise," It can also render a Wailord, its natural prey, unconscious"
2,Dhelmise, Dhelmise can extend its body at a lengthy distance
3,Dhelmise, It can also attach bits of sea debris and seaweed
4,Dhelmise," In addition, Dhelmise binds its victims with seaweed while draining away their vitality; it also uses this tactic when hunting for Wailord"
5,Dhelmise,It is said that Dhelmise was created when a piece of seaweed merged with the debris of a sunken ship
6,Dhelmise,Skrelp and Dragalge are known to hang around it
7,Dhelmise," They hold a mutualistic relationship with wild Skrelp, who lead them to patches of wild kelp and in return are protected by these mighty Pokémon"
0,Jangmo-o,"Jangmo-o live in groups in harsh, barren areas"
1,Jangmo-o, They often congregate in canyons and badlands far away from human settlements or even other Pokémon
2,Jangmo-o, Jangmo-o train diligently by battling one another; they take their practice very seriously and never miss a chance to further hone their skills
3,Jangmo-o," These Pokémon are said to have the hearts of warriors, as they will never turn their backs to foes and always remain humble about their fighting prowess"
4,Jangmo-o,"Jangmo-o clang their scales to express emotions both in battle as well as in communication, making their habitats very noisy"
5,Jangmo-o, Young Jangmo-o will clang scales together to build camaraderie and strength
6,Jangmo-o,Travelers will almost inevitably hear Jangmo-o in the wild before actually spotting them
7,Jangmo-o, Ancient tribes used to collect Jangmo-o scales and fashion war instruments out of them
8,Jangmo-o, They believed that ringing these instruments prior to battle would ensure their warriors fought bravely and valiantly
9,Jangmo-o, Anthropological excavations suggest that Jangmo-o were popular partners for military combatants in ancient Alolan society
10,Jangmo-o," Recently, scientists have found evidence that Jangmo-o scales are not, in fact, modified reptilian scales, but actually hardened fur; the implications of this finding have yet to be explored"
0,Hakamo-o,This Pokémon leaves its family to train on its own
1,Hakamo-o," It will keep looking for an opponent to fight, and when it does, it will clang its scales, dance around ferociously, and let out a battle cry as a sign it wants to fight"
2,Hakamo-o," It does not worry about defense, but looses it scales because of this"
3,Hakamo-o," It will wear the scales it lost as a sign that it battled a strong opponent, though its scales grow back quickly, and it will always feel proud on showing off its scars to look down any fallen foe"
4,Hakamo-o," As shown in the anime, Hakamo-o and its evolutionary family are very territorial and will attack any humans that wonder into their home"
5,Hakamo-o," When Hakamo-o come across one another in the wild, they will brandish their bare arms to boast how many scales they have lost fighting ferociously in battle"
0,Kommo-o,"Kommo-o, having completed its harsh training, returns to its birthplace to protect Jangmo-o"
1,Kommo-o," However, it only watches over them from a distance"
2,Kommo-o," Because it does not wish to fight weak foes, it clangs its scales together when it senses someone approaching"
3,Kommo-o," This ringing sound alerts others of its presence, which can unnerve and drive away weaker Pokémon"
4,Kommo-o," According to legend, Kommo-o's glittering scales are meant to drive away a great darkness"
5,Kommo-o, The reason it seeks strong opponents is also said to be a quest for power to defeat the darkness
6,Kommo-o," It howls after finishing off its prey, which is followed by the metallic celebration sounds from its comrades"
7,Kommo-o,"In the Galar region, there have been paintings that depict warriors clad in armor made from a Kommo-o's scales"
0,Cosmog,"As seen in Nebby, a wild Cosmog, it appears to be a curious and playful Pokémon"
1,Cosmog," It also is overly trusting and naive, carelessly approaching even people who may not have the best intentions"
2,Cosmog,"In the anime, Nebby is shown to have traits similar to newborns as it tends to cry and sleep a lot"
3,Cosmog, Nebby is also shown to be a picky eater and only seems to eat konipeto
0,Cosmoem,"It stays immobile in this entire stage, which makes the chances smaller for this Pokémon to evolve early"
0,Buzzwole,"As shown in A Mission of Ultra Urgency!, Buzzwole is considered as a muscle brain Pokémon who is proud of its muscular looks"
1,Buzzwole,Buzzwole doesn't evolve
0,Xurkitree,Xurtitree possesses an internal organ that generates high amounts of electrical energy
1,Xurkitree," It can release those energies in high amounts, reaching up to 1,000,000 volts"
2,Xurkitree," Xurkitree have been known to anchor its limbs on the ground, imitating a tree in order to absorb electricity"
3,Xurkitree,Xurkitree doesn't evolve
0,Celesteela,Celesteela's body contains a flammable rocket fuel that it uses to fly and shoot fire out of its arms in combat
1,Celesteela," Despite not being Grass type, Celesteela can absorb nutrients from soil and appears to grow like a plant"
2,Celesteela,Celesteela doesn't evolve
0,Guzzlord,"Guzzlord is a ravenous eater, devouring everything and anything in its proximity"
1,Guzzlord," Its known to have devoured whole buildings, even mountains, according to reports"
2,Guzzlord, Its two tongues have teeth of their own and are used for grabbing food
3,Guzzlord," Despite its boundless appetite, however, Guzzlord produces no known excreta, presumably converting all it eats into energy"
4,Guzzlord,Guzzlord does not evolve
0,Necrozma,"Necrozma was discovered dwelling deep underground, where it had been asleep for ages"
1,Necrozma," Due to the peculiar nature of its body, the power it wields, and the rumors that it came from another world in the distant past, it is speculated that it may be related to the Ultra Beasts, if it is not actually one itself; however, the International Police have no records of it ever emerging from an Ultra Wormhole so its classification is still uncertain"
2,Necrozma,"Despite being pitch-black, it constantly refracts light like a prism"
3,Necrozma,"This Pokémon is extremely hostile, and will attack relentlessly to get Solgaleo or Lunala"
4,Necrozma,"After absorbing Solgaleo, Necrozma will use its claws to mercilessly rend its prey to shreds"
5,Necrozma, It even absorbs the life force of Solgaleo to further fuel its rampaging tendencies
6,Necrozma,"After absorbing Lunala, Necrozma uses its large claws to nab foes and rip them apart"
7,Necrozma, It even forces its host to siphon its own energy for sustenance
8,Necrozma," Dawn Wings Necrozma also becomes vicious, It even using its lasers to decimate the world in a mighty blaze"
0,Magearna,"Magearna is compassionate, and will try all its best to help anyone who is suffering from physical wounds and emotional turmoil"
0,Marshadow,"Since it hides in the shadows of others, it's very shy and secretive"
1,Marshadow," Using its shadow abilities, it becomes the shadows of others and imitates them, eventually becoming even stronger than the person it is imitating"
0,Poipole,Poipole are emotional and one can gain the ability to understand human languages if it lives with humans for a long period
1,Poipole,"As Poipole are very curious not knowing about the human world, they can be mischievous at times"
2,Poipole, They greet others by squirting ooze or spinning upside down on their heads
3,Poipole,They can use their ooze to make paintings of Pokémon they like as a sign of friendship or express how they feel
4,Poipole,Poipole evolves into Naganadel when leveled up after learning Dragon Pulse
0,Naganadel,"Said to dwell in hive-like structures on their home world, these creatures appear to be fiercely protective of their pre-evolutions, Naganadel can shoot glowing, corrosive poison from their primary stinger up to a distance of six miles (9"
2,Naganadel," This poison is also incredibly sticky, serving to both trap and incapacitate victims"
3,Naganadel," According to URS research, Naganadel's brain is in fact housed in its abdomen, and its three stingers are directly connected to the organ; their research proposes that the stingers may also serve as sensory organs of sorts"
4,Naganadel," Directly touching these stingers, however, causes the creatures to react violently"
5,Naganadel," Naganadel are believed to be able to share thoughts and images telepathically with other sentient beings, though this has not yet been confirmed by non-URS researchers"
0,Stakataka,"When confronting another, or when feeling particularly enraged, the eyes on each of these stones begin to glow red"
1,Stakataka," It is mostly enrage when something that are far heavier than Stakataka like statues being put on the top of its head, causing it to shake the heavy objects off its head to calm itself down"
2,Stakataka," In SM085, if someone manages to successfully ride on top of Stakataka when angered the Ultra Beast will obey that person's commands"
3,Stakataka,Stakataka doesn't evolve
0,Blacephalon,"Blacephalon tricks targets into letting their guard down as it draws near with its funny gait, swaying this way and that—then shocks them by blowing up its own head without warning"
1,Blacephalon," Before they can recover their senses, it steals their vitality, which it's said to use as a source of energy"
2,Blacephalon,Blacephalon does not evolve
3,Blacephalon,"In Pokémon Ultra Sun, after Necrozma absorbs Nebby and becomes Dusk Mane Necrozma, a Blacephalon appears in Mahalo Trail through an Ultra Wormhole opened by the Prism Pokémon and faces Hala, Hau and Tapu Koko in a battle"
0,Zeraora,"Alolan elders claim that Zeraora is distrustful of humans because of how it was treated by a group of island newcomers; the visitors in fact came to Alola as poachers and betrayed Zeraora's trust, leading it to shun humans from then onwards"
0,Meltan,Meltan's body is made out of liquid metal
1,Meltan," This allows Meltan to corrode any metal and absorb it into its own body, eventually becoming an indirect predator to the Steel Pokémon with metallic body, such as the Magnemite evolution line"
2,Meltan," In addition, Meltan generates electrical energy from the metal it absorbs; it uses the electricity as an energy source as well as an eye beam attack version of Flash Cannon, which it releases from its eye"
3,Meltan," Meltan cannot stand extreme heat, due to it being weak to the Fire type"
4,Meltan," Ironically, it can walk underwater although it is also weak to said type"
5,Meltan," Additionally, Meltan can contact the rest of its kind to its current location when its bodies vibrates by the result of contacting with any soundwave-related metallic items like school bells nearby, just as its head spins much faster"
6,Meltan,"Meltan can be very curious, showing interest in many things"
7,Meltan, They also spin their hex nut heads a sign of affection towards others and when happy
8,Meltan,"In Pokémon GO, Meltan evolves into Melmetal when it is fed 400 Meltan Candy"
9,Meltan," In the main games, it cannot evolve at all"
10,Meltan," Therefore, the Eviolite has no effect on Meltan"
11,Meltan,"In the anime, Meltan evolves into Melmetal by combing with it own species"
0,Melmetal,Melmetal was thought to be revered by humans many years ago because of its ability to manipulate and create metal from nothingness
1,Melmetal, However this was not shown in any media so far
2,Melmetal,Melmetal was considered a sacred being that lived in a secluded area deep within a wooded land that was full of sedimentary rocks rich with magnetite
3,Melmetal," When Melmetal reaches the end of its life, it will rust and split itself into multiple Meltan from the small shards left behind"
4,Melmetal," The process of evolution has hardened its body, making it incredibly sturdy"
5,Melmetal," However, it is still in a liquid state and has some flexibility, particularly in its arms"
6,Melmetal," The strength of the heavy hex nut arms comes from the centrifugal force, which allows Melmetal to have the strongest punch of all Pokémon"
7,Melmetal, Melmetal is said to be created when one strong Meltan absorbs the group it lives with in order to evolve
0,Grookey,Grookey are full of curiosity and also quite mischievous
1,Grookey, They are considered to be a mood maker as their demeanor can make just about anyone happy
2,Grookey," Like Braixen, they are also very attached to the branches on the top of their heads"
3,Grookey, One usually sleeps on the arms of its Trainer or family members
4,Grookey," After Grookey are born, they grab a stick from a nearby tree and carry it with them for the rest of their lives"
5,Grookey, These sticks become infused with Grookey's energy by being around them
6,Grookey,"In the wild, Grookey live in troops with others of their kind"
7,Grookey, Their green fur contains chlorophyll and synthesizes sunlight into energy
8,Grookey, Grookey troops can be heard from afar drumming in time on hard Berries
9,Grookey, Trainers that do not take life seriously and enjoy dancing to their own rhythm will appreciate Grookey as their first Pokémon
0,Thwackey,Thwackey keeps a steady beat during its daily life
1,Thwackey, It walks while swaying back and forth to a rhythm and drumming with its twin sticks
2,Thwackey," Due to being immersed with its practicing, it oftentimes neglect its trainer's instructions"
3,Thwackey, Some have even witnessed Thwackey honing its skills when it is eating
0,Rillaboom,Rillaboom have a gentle nature and won't involve themselves in trivial fights
1,Rillaboom," However, they are extremely sensitive to any actions that could risk the harmony around them, so they keep such actions strictly in check"
2,Rillaboom," Rillaboom have a strong sense of solidarity with others, and they will fight ferociously when their allies are in trouble"
3,Rillaboom, The Rillaboom who has displayed the best drumming technique becomes the leader
4,Rillaboom,Other Pokémon will congregate around performing Rillaboom to watch them drum and dance along
5,Rillaboom," In Galarian folklore, it is said that as long as these Pokémon are drumming, the rules of nature are temporarily suspended, and predator and prey will dance together as companions"
6,Rillaboom, Trainers who prefer cooperation over competition and do not take life too seriously will find Rillaboom excellent companion Pokémon
7,Rillaboom,"Gigantamax Rillaboom focuses completely on playing its drums, compelled by the power welling up inside it"
8,Rillaboom, The sound can reach across oceans and be heard by those living in other regions
9,Rillaboom," It's said that those who hear the beat will begin to dance uncontrollably, overwhelmed by a rhythm that surges up from inside them"
0,Scorbunny,Scorbunny is always bursting with energy
1,Scorbunny, It uses its agility and natural kicking skills to confuse opponents
2,Scorbunny," According to the anime, a Scorbunny's foot is said to bring good luck, a reference to how a rabbit's foot is often used as a good luck charm"
3,Scorbunny," They take time to heat up, however, as the contents of Scorbunny's flame sacs are viscous and need to soften before use"
4,Scorbunny," For this reason, Scorbunny need to warm up before battles by running laps"
5,Scorbunny," This increases their heart rate and body temperatures, helping them reach their full potentials"
6,Scorbunny," These flame sacs are sometimes called their ""second hearts"" due to their importance"
7,Scorbunny," In combat, Scorbunny run circles around their opponents to bewilder them before delivering burning kicks"
8,Scorbunny,Trainers that can keep up with these fast-paced Pokémon will find themselves rewarded with their impressive speed and strength
0,Raboot,"As shown by Goh's Raboot, this Pokemon is very cool and aloof most of the time"
1,Raboot," For most times, Raboot prefers putting its paws into its abdomen's fur, in order to prevent heat loss"
2,Raboot," It kicks berries around with its feet, practicing in order to learn its evolution's signature move, Pyro Ball, before swallowing the berry"
0,Cinderace,"Similarly to Incineroar, Cinderace are very confident and love the spotlight"
1,Cinderace," They also get pumped up when cheered on-but if they get overconfident, they risk getting overtaken and put in a tough spot"
2,Cinderace,"Whether experiencing a victory or loss, they are good sports that can recognize a stronger foe and learn from their mistakes in battle"
3,Cinderace, Trainers that are determined to always strive towards the horizon will find Cinderace to be great partner Pokémon on their journeys
0,Sobble,Sobble is timid in nature
1,Sobble," It will begin crying or turn invisible whenever it is scared, hurt, or threatened"
2,Sobble,Trainers that do not mind a challenge will be able to handle raising these timid yet clever Pokémon
0,Drizzile,"Drizzile are clever and intelligent fighters, yet also very lazy"
1,Drizzile," In combat, Drizzile use water moisture from their palms to create water balloons"
2,Drizzile," To keep enemies out of its territory, Drizzile lay traps around the area using these balloons due to their cautious nature"
3,Drizzile," In fact, they may fill ditches with water and then overlay them with leaves and mud to make them appear solid; enemies trying to approach will try to walk over the ditches only to fall inside"
4,Drizzile,"When hunting, nonetheless, they can turn from slothful to concentrated"
5,Drizzile," Drizzile prefer to do as little work as possible in order to achieve the results they want, and are known to fool other Pokémon into doing tasks for them"
6,Drizzile, They tend to be asocial and prefer to spend their time in the solitude of tree hollows and rock depressions
7,Drizzile,"Seen by Goh's Drizzile, despite their solitary and lazy nature they do like to be active when no one else is around or at night"
8,Drizzile," Similar to a Greninja, Lickitung or Kecleon, they too can also use their tongues grab and restrain opponents"
0,Inteleon,"Inteleon, as the name suggests, are highly intelligent and gentleman Pokémon"
1,Inteleon," One analyses its opponents carefully to discern their weaknesses and then uses its finger to ""snipe"" other Pokémon"
2,Inteleon, They are fiercely loyal to the Trainers they trust
3,Inteleon,"Though Inteleon prefer to work alone, they are not as asocial as Drizzile"
4,Inteleon, They are rather task-oriented and do not let their personal opinions get in the way of whatever they are trying to accomplish
0,Skwovet,Skwovet are very gluttonous and love to eat
1,Skwovet," In fact, they love to eat so much that they get uneasy if their cheeks are ever empty of Berries"
2,Skwovet," They have a habit of attacking people who try to shake Berry Trees, worried about losing their food"
3,Skwovet, They'll also show up on farms in an effort to collect even more Berries
4,Skwovet," However, they will become quite distressed should their stomachs and cheek pouches ever feel empty"
5,Skwovet," They are not picky about flavors; from sweet to sour, bitter to spicy, Skwovet will eat any and all Berries they can find growing on trees"
6,Skwovet," Though they prefer ripened Berries, they will not hesitate to nibble hard, unripe ones straight from the branch"
7,Skwovet,"Skwovet are commonplace in Galar, ranging from farms to trees in urban areas"
8,Skwovet,It evolves into Greedent starting at level 24
0,Greedent,"True to their name, Greedent are extremely greedy and gluttonous (hence their plump physique)"
1,Greedent, They store so many berries in their tails that they never notice when they lose them
2,Greedent, They're also slow-witted and have a habit of attacking people that shake berry trees too much
0,Rookidee,"Rookidee are fierce and nimble, willing to stand up to opponents much larger than themselves, similarly to their real-world counterpart"
1,Rookidee, these Pokémon learn to adapt their fighting styles to different situations
2,Rookidee," For instance, Rookidee will use their size and speed to their advantage against bulky opponents, nimbly hopping between their feet to attack weak spots and avoid lumbering strikes"
3,Rookidee," With meeker foes, they will instead try to press the attack to keep them off-balance"
4,Rookidee," They can be a bit too eager when they see supposed openings however, and will often fall for feints"
5,Rookidee," This is perhaps the hardest lesson for them to learn, and trainers may notice their Rookidee making this mistake repeatedly through many battles"
6,Rookidee," It is said that when Rookidee finally learn to be patient and think their opponents' strategies through, they are ready to evolve into Corvisquire"
0,Corvisquire,"Corvisquire are intelligent, shown by their ability to use tools to assist them in battle"
1,Corvisquire, They can accurately judge an opponent's strength in order to discern whether it is worth it to challenge the opponent or not
2,Corvisquire,Corvisquire evolves from Rookidee at level 18 and evolves into Corviknight at level 38
0,Corviknight,"Often being seen fearlessly soaring through the air, Corviknight is regarded as the strongest Pokémon living in the skies of the Galar region"
1,Corviknight," With just a sharp glare and cry from this fearsome Pokémon, any Pokémon which are foolish enough to challenge them are sent cowering in tremendous fear"
2,Corviknight,"Corviknight are also intelligent creatures, capable of using tools and solving problems through intuition"
3,Corviknight, These taciturn Pokémon are always keenly observing their surroundings
4,Corviknight, Corviknight in fact pay attention to the body language of passerby in order to determine whether they intend to cause trouble before they even pick a fight
5,Corviknight," In some regions such as Galar, they are employed as taxi Pokémon because of their directional intuition and their stamina"
6,Corviknight," Because of their reputation, Corviknight are commonly used as emblems to represent intellect and power"
7,Corviknight, They also have less of a temper and are thus preferred over Braviary for the Flying Taxi service in Galar
8,Corviknight,"In Paldea, Corviknight are instead substituted by Squawkabilly as Flying Taxis, as  Corviknight are targeted by its natural predator: Tinkaton who likes to hit them out of the sky with rocks launched from their hammers for fun, which could endanger the driver and passenger(s)"
0,Blipbug,"Blipbug uses the hairs on its body to gather information about its surroundings, presumably to avoid predators that could easily overpower it"
0,Dottler,"Though Blipbug are already skittish Pokémon that spend most of their time in hiding, Dottler take this secrecy even further"
1,Dottler,"Dottler remains stationary awaiting evolution most of the time, using its psychic powers only when necessary"
2,Dottler,"When they sense something abnormal, their dots will begin to blink; this blinking will become faster as enemies approach, and more erratic when Dottler sense especially powerful enemies"
3,Dottler," If predators do manage to locate them, Dottler will release a burst of psychic energy to stun them before attempting to make their (sluggish) getaways"
4,Dottler," The longer Dottler go without food or water, the stronger their psychic abilities and thus their detection systems become"
5,Dottler," In fact, these Pokémon do not eat at all in order to maximize their psychic conditioning and thus hasten their evolutions"
0,Orbeetle,"Orbeetle is well known for possessing high amounts of intelligence, which is shown in its huge brain mass"
1,Orbeetle," It releases psychic energy to observe its environment, including those six miles away"
2,Orbeetle," As soon as they sense danger, they will begin formulating a plan of attack"
3,Orbeetle," By the time enemies actually arrive, Orbeetle will have prepared an impenetrable strategy for victory"
4,Orbeetle, Orbeetle are also believed to be able to influence the minds of others that are near them
5,Orbeetle," It is said that these Pokémon remember those who had terrorized them as Blipbug and Dottler, and will use their immense intelligence in order to concoct ways to torment them in turn"
6,Orbeetle," If a person is ever faced with a problem that seems specifically designed to ruin their day, it is thought that may have unknowingly angered a Blipbug some time in the past"
7,Orbeetle,"After absorbing Gigantamax energy, Orbeetle has greatly increased its intellect and brain size"
0,Nickit,Nickit are cautious Pokémon that steal food from others
1,Nickit," They silently raid food stores and take off with their meals, erasing their tracks with their tails and leaving no sign of their presence"
2,Nickit," They diet on food stolen from other Pokémon and humans, sometimes including Pokémon Eggs"
3,Nickit,"Purrloin is their rival, while Boltund is their natural enemy"
0,Thievul,"Thievul steal food and eggs from their victims, by stalking their victims' scent and leave markings as a reminder for themselves to rob from their targets who are about to loosen up"
1,Thievul, But they are naturally afraid of Boltund
2,Thievul,"Thievul usually diet on Pokémon Eggs, though they also sometimes rob food from humans and other Pokémon"
3,Thievul,Theivul evolves from Nickit at level 18
0,Gossifleur,"By getting blown in the wind, Gossifleur can travel for long distance in order to land in areas with clean water and air"
1,Gossifleur, They can control their directions by twisting their bodies
